State,Season,Soil_Type,Crop,Rainfall_mm,Temperature_C,Humidity_pct,pH,Area_ha,N_kg_ha,P_kg_ha,K_kg_ha,Fertilizer,Irrigation,Yield_kg_ha
Tamil Nadu,Zaid,Sandy,Groundnut,798.3,24.6,64.5,5.8,9.46,38.6,55.6,13.9,Organic,Rain-fed,2131.1
Uttar Pradesh,Zaid,Clay,Jowar,328.0,34.7,94.1,6.9,17.27,28.5,76.4,77.6,Organic,Drip,2457.6
Karnataka,Kharif,Laterite,Barley,208.0,11.2,85.8,6.02,8.13,118.2,39.8,24.6,DAP,Rain-fed,2949.9
Karnataka,Kharif,Loamy,Cotton,918.5,36.7,92.9,8.03,15.07,66.4,29.7,48.0,Organic,Rain-fed,382.7
West Bengal,Zaid,Alluvial,Rice,917.2,27.5,84.9,7.62,14.72,29.6,35.1,18.1,Urea,Flood,4428.8
West Bengal,Rabi,Red,Groundnut,555.5,26.6,88.8,6.92,2.83,118.9,49.3,64.0,Compost,Flood,1816.1
Uttar Pradesh,Zaid,Laterite,Barley,555.3,9.6,89.3,6.93,11.48,38.1,52.3,47.8,Potash,Sprinkler,2122.3
Madhya Pradesh,Kharif,Sandy,Maize,612.9,31.0,87.9,7.91,4.14,90.1,66.5,72.7,Compost,Sprinkler,3171.1
Maharashtra,Kharif,Alluvial,Rice,1199.3,30.4,87.3,5.52,10.46,48.9,18.4,33.6,Urea,Sprinkler,5112.5
Maharashtra,Rabi,Black,Barley,401.9,8.9,78.3,7.64,3.39,99.2,45.2,13.6,Urea,Flood,1974.5
Rajasthan,Rabi,Sandy,Rice,1597.8,30.8,53.3,7.52,15.35,114.7,35.7,54.3,NPK,Drip,4346.6
Uttar Pradesh,Zaid,Sandy,Rice,1065.8,28.6,52.1,7.63,16.29,32.5,75.8,37.8,Potash,Rain-fed,3643.6
Haryana,Zaid,Alluvial,Mustard,255.0,14.8,69.8,7.59,4.96,92.2,47.1,26.9,DAP,Rain-fed,822.9
West Bengal,Rabi,Laterite,Maize,990.3,29.9,82.9,7.43,2.14,107.0,50.6,36.1,Potash,Sprinkler,6694.1
Haryana,Rabi,Black,Barley,202.5,10.3,64.7,8.48,3.93,84.2,22.5,35.7,Potash,Drip,3519.1
Andhra Pradesh,Rabi,Loamy,Maize,945.4,21.5,61.6,8.18,12.81,85.3,50.4,44.5,DAP,Drip,3131.0
Tamil Nadu,Rabi,Alluvial,Maize,900.4,28.8,60.4,5.55,18.6,145.7,77.5,69.7,Urea,Sprinkler,3121.3
Andhra Pradesh,Rabi,Clay,Maize,618.6,25.8,91.2,5.71,4.57,38.2,46.3,71.4,Compost,Flood,4988.3
Rajasthan,Zaid,Clay,Rice,1050.3,31.2,63.1,6.27,12.42,20.7,54.0,23.6,Potash,Sprinkler,2172.7
Karnataka,Zaid,Black,Maize,736.6,23.3,42.0,6.9,11.08,96.8,12.1,12.6,Organic,Sprinkler,5698.2
Tamil Nadu,Zaid,Sandy,Soybean,922.2,23.3,44.7,5.66,10.86,38.0,19.3,77.9,NPK,Flood,2272.6
Rajasthan,Kharif,Sandy,Maize,807.3,19.1,44.4,6.78,13.93,139.0,41.0,26.8,Urea,Sprinkler,2068.0
Karnataka,Zaid,Sandy,Barley,530.1,11.9,64.0,7.69,1.43,40.6,18.4,33.9,DAP,Rain-fed,1841.6
Tamil Nadu,Zaid,Black,Cotton,622.7,22.3,59.0,6.89,13.17,143.4,72.1,28.3,DAP,Sprinkler,357.0
Maharashtra,Zaid,Sandy,Maize,852.2,30.0,91.9,8.1,12.91,108.0,50.1,19.0,Potash,Rain-fed,5528.6
Haryana,Kharif,Laterite,Rice,1957.3,33.8,45.2,7.55,1.89,108.6,33.8,28.2,Organic,Sprinkler,3579.8
West Bengal,Kharif,Sandy,Jowar,718.0,30.2,84.2,6.35,3.96,124.9,79.3,38.9,Urea,Rain-fed,1526.4
Madhya Pradesh,Zaid,Clay,Sugarcane,1357.9,33.5,45.7,8.21,10.35,58.7,17.0,13.7,Urea,Sprinkler,130096.0
Maharashtra,Zaid,Loamy,Maize,563.9,22.5,67.1,5.75,2.29,92.0,24.9,76.2,Potash,Drip,6017.8
Andhra Pradesh,Zaid,Sandy,Barley,580.8,16.7,63.4,6.17,8.23,39.1,45.9,26.3,NPK,Sprinkler,3416.7
Madhya Pradesh,Kharif,Clay,Rice,1868.4,25.1,81.4,6.63,2.13,92.6,39.7,73.4,Organic,Rain-fed,2229.4
Madhya Pradesh,Zaid,Clay,Jowar,744.6,32.0,81.0,7.25,19.26,30.8,47.0,40.5,Potash,Drip,2623.3
Tamil Nadu,Zaid,Laterite,Sugarcane,1065.1,36.9,78.2,5.73,3.74,58.3,79.7,58.8,Urea,Sprinkler,82220.0
West Bengal,Kharif,Laterite,Jowar,870.2,33.6,55.3,6.06,9.54,95.9,15.4,78.2,DAP,Rain-fed,2979.7
Maharashtra,Kharif,Sandy,Soybean,619.4,22.8,77.7,5.99,18.26,143.5,60.8,52.9,Organic,Sprinkler,1680.1
Andhra Pradesh,Zaid,Alluvial,Rice,1314.4,31.7,86.3,8.01,9.64,55.5,13.9,70.5,NPK,Flood,4874.0
Tamil Nadu,Kharif,Sandy,Sugarcane,2495.0,31.8,81.6,6.63,5.2,52.7,29.2,24.5,Urea,Sprinkler,96693.4
Tamil Nadu,Rabi,Loamy,Maize,864.1,29.9,88.2,6.71,3.11,103.1,66.4,73.2,Organic,Drip,5118.2
Uttar Pradesh,Zaid,Loamy,Wheat,425.3,18.3,80.0,7.14,9.29,100.9,70.4,76.5,Potash,Sprinkler,2638.6
Haryana,Kharif,Sandy,Cotton,821.4,37.7,51.5,7.24,7.16,36.6,20.6,19.7,Urea,Flood,784.7
Haryana,Kharif,Red,Mustard,478.6,15.8,50.6,5.62,3.79,43.0,16.2,18.4,Potash,Sprinkler,1263.1
Madhya Pradesh,Rabi,Alluvial,Jowar,714.2,22.5,44.5,8.12,18.46,56.0,66.4,62.4,Organic,Drip,1209.3
West Bengal,Rabi,Clay,Mustard,393.8,18.7,81.1,5.61,5.42,129.8,62.5,12.1,NPK,Flood,1858.1
Madhya Pradesh,Kharif,Clay,Barley,568.7,10.6,51.6,6.48,2.84,97.2,57.5,65.2,Urea,Drip,2908.6
Uttar Pradesh,Rabi,Alluvial,Cotton,876.0,31.4,55.6,6.59,13.1,66.3,79.1,52.4,DAP,Flood,509.6
West Bengal,Kharif,Red,Mustard,558.7,11.1,94.0,5.84,8.26,132.5,67.2,28.1,Potash,Flood,899.7
West Bengal,Rabi,Red,Maize,1074.6,28.1,55.4,7.81,4.15,75.3,45.5,27.0,Compost,Rain-fed,1956.2
Uttar Pradesh,Kharif,Sandy,Sugarcane,1759.2,37.0,60.3,6.86,11.2,46.2,57.9,16.2,DAP,Rain-fed,70421.0
Karnataka,Zaid,Loamy,Barley,580.1,16.3,59.2,8.29,16.7,36.2,61.2,75.7,Potash,Sprinkler,1961.5
Madhya Pradesh,Kharif,Red,Soybean,628.9,27.8,51.1,5.99,3.7,106.5,46.6,35.1,Organic,Flood,2387.1
Uttar Pradesh,Kharif,Loamy,Barley,541.5,14.3,56.6,7.74,10.3,136.9,36.9,48.0,Urea,Drip,3959.5
Maharashtra,Zaid,Black,Soybean,799.7,27.3,88.3,6.99,14.96,149.7,62.7,59.5,NPK,Rain-fed,2564.8
Tamil Nadu,Zaid,Black,Rice,936.9,29.4,81.5,5.81,10.96,36.6,37.8,65.8,Potash,Drip,2732.8
Maharashtra,Rabi,Laterite,Wheat,256.1,18.4,53.8,6.54,4.04,95.8,38.1,42.3,DAP,Rain-fed,5749.8
Punjab,Zaid,Alluvial,Jowar,651.7,28.6,79.9,7.28,2.49,139.9,59.5,20.7,Potash,Drip,2013.6
Tamil Nadu,Kharif,Alluvial,Mustard,536.2,22.7,49.1,6.06,16.83,60.5,25.9,52.6,Urea,Flood,1370.9
Rajasthan,Kharif,Sandy,Sugarcane,1502.8,35.2,46.3,6.74,17.34,80.5,43.7,74.3,Compost,Sprinkler,97905.4
Andhra Pradesh,Rabi,Alluvial,Cotton,793.2,36.6,40.7,7.49,3.97,39.3,39.0,16.0,Potash,Drip,1005.9
Karnataka,Zaid,Loamy,Rice,1229.6,26.0,51.5,8.19,4.5,24.8,43.0,49.5,Organic,Drip,2292.3
Andhra Pradesh,Zaid,Loamy,Wheat,517.2,16.7,48.5,6.05,17.3,55.4,72.8,46.9,NPK,Rain-fed,5855.7
West Bengal,Kharif,Sandy,Groundnut,478.1,32.0,70.3,6.26,4.32,33.5,66.0,22.5,Organic,Rain-fed,1970.0
Maharashtra,Kharif,Red,Mustard,488.9,22.0,47.8,6.72,6.82,102.3,61.5,69.4,DAP,Flood,963.6
Punjab,Zaid,Black,Maize,908.1,23.9,74.4,6.51,16.59,24.4,68.1,34.2,NPK,Flood,6214.1
Rajasthan,Rabi,Alluvial,Maize,1163.9,28.7,66.8,8.18,16.1,22.9,28.8,47.9,Urea,Sprinkler,4485.7
Maharashtra,Rabi,Loamy,Groundnut,509.0,31.0,68.9,6.02,5.81,138.9,18.2,50.4,NPK,Sprinkler,1579.5
Tamil Nadu,Zaid,Loamy,Jowar,732.1,23.4,89.5,8.12,12.15,106.5,22.3,74.0,Potash,Drip,1808.9
